, wind, old_coal_sub_st, old_ng_cc, old_ng_gt, new_coal_st, new_ng_cc, new_ng_gt_aero, new_nuke_st
wk02.h020,        0.19,        1.72,        1.65,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h021,        0.34,        1.72,        1.46,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h022,        0.55,        1.72,        1.18,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h023,        0.70,        1.72,        0.83,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h024,        0.58,        1.72,        0.69,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h025,        0.54,        1.72,        0.47,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h026,        0.58,        1.72,        0.28,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h027,        0.50,        1.72,        0.29,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h028,        0.54,        1.72,        0.21,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h029,        0.59,        1.72,        0.15,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h030,        0.55,        1.72,        0.25,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h031,        0.44,        1.72,        0.52,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h032,        0.48,        1.72,        0.67,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h033,        0.51,        1.72,        0.84,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h034,        0.52,        1.72,        0.99,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h035,        0.71,        1.72,        0.85,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h036,        0.98,        1.72,        0.52,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h037,        0.88,        1.72,        0.53,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h038,        0.92,        1.72,        0.41,        0.00,        0.65,        1.20,        0.00,        0.00
wk02.h039,        1.26,        1.72,        0.00,        0.00,        0.65,        1.17,        0.00,        0.00
wk02.h040,        1.55,        1.72,        0.00,        0.00,        0.65,        0.80,        0.00,        0.00
wk02.h041,        2.01,        1.72,        0.00,        0.00,        0.65,        0.34,        0.00,        0.00
wk02.h042,        2.29,        1.72,        0.00,        0.00,        0.65,        0.21,        0.00,        0.00
wk02.h043,        2.52,        1.72,        0.00,        0.00,        0.65,        0.24,        0.00,        0.00
wk02.h044,        2.79,        1.72,        0.00,        0.00,        0.65,        0.22,        0.00,        0.00
wk02.h045,        2.92,        1.72,        0.00,        0.04,        0.65,        0.00,        0.00,        0.00
wk02.h046,        2.93,        1.61,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk02.h047,        2.94,        1.31,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk02.h048,        2.90,        1.00,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk02.h049,        2.78,        0.86,        0.00,        0.00,        0.57,        0.00,        0.00,        0.00
wk02.h050,        2.58,        0.86,        0.00,        0.00,        0.59,        0.00,        0.00,        0.00
wk02.h051,        2.50,        0.86,        0.00,        0.00,        0.60,        0.00,        0.00,        0.00
wk02.h052,        2.34,        1.07,        0.00,        0.00,        0.54,        0.00,        0.00,        0.00
wk02.h053,        1.74,        1.58,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk02.h054,        1.22,        1.72,        0.00,        0.00,        0.65,        0.55,        0.00,        0.00
wk02.h055,        1.19,        1.72,        0.27,        0.00,        0.65,        0.80,        0.00,        0.00
wk02.h056,        1.76,        1.72,        0.24,        0.00,        0.65,        0.80,        0.00,        0.00
wk02.h057,        1.88,        1.72,        0.15,        0.00,        0.65,        0.68,        0.00,        0.00
wk02.h058,        1.66,        1.72,        0.15,        0.00,        0.65,        0.87,        0.00,        0.00
wk02.h059,        1.53,        1.72,        0.15,        0.00,        0.65,        1.01,        0.00,        0.00
wk02.h060,        1.38,        1.72,        0.15,        0.00,        0.65,        1.15,        0.00,        0.00
wk02.h061,        1.73,        1.72,        0.00,        0.00,        0.65,        0.88,        0.00,        0.00
wk02.h062,        2.12,        1.72,        0.00,        0.00,        0.65,        0.42,        0.00,        0.00
wk02.h063,        2.16,        1.72,        0.00,        0.00,        0.65,        0.32,        0.00,        0.00
wk02.h064,        2.30,        1.68,        0.00,        0.00,        0.65,        0.12,        0.00,        0.00
wk02.h065,        2.47,        1.47,        0.00,        0.00,        0.65,        0.12,        0.00,        0.00
wk02.h066,        2.44,        1.51,        0.00,        0.00,        0.65,        0.12,        0.00,        0.00
wk02.h067,        1.91,        1.72,        0.15,        0.00,        0.65,        0.38,        0.00,        0.00
wk02.h068,        1.62,        1.72,        0.49,        0.00,        0.65,        0.40,        0.24,        0.00
wk02.h069,        2.15,        1.72,        0.17,        0.00,        0.65,        0.40,        0.00,        0.00
wk02.h070,        1.86,        1.72,        0.32,        0.00,        0.65,        0.40,        0.00,        0.00
wk02.h071,        1.80,        1.72,        0.15,        0.00,        0.65,        0.34,        0.00,        0.00
wk02.h072,        2.22,        1.25,        0.15,        0.00,        0.65,        0.00,        0.00,        0.00
wk02.h073,        2.42,        0.87,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk02.h074,        2.30,        0.86,        0.00,        0.00,        0.62,        0.00,        0.00,        0.00
wk02.h075,        2.39,        0.86,        0.00,        0.00,        0.51,        0.00,        0.00,        0.00
wk02.h076,        2.26,        0.89,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk02.h077,        2.42,        0.86,        0.00,        0.00,        0.59,        0.00,        0.00,        0.00
wk02.h078,        2.35,        1.19,        0.00,        0.00,        0.60,        0.00,        0.00,        0.00
wk02.h079,        2.36,        1.70,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk02.h080,        2.29,        1.72,        0.00,        0.00,        0.65,        0.71,        0.00,        0.00
wk02.h081,        2.11,        1.72,        0.00,        0.03,        0.65,        0.80,        0.00,        0.00
