, wind, old_coal_sub_st, old_ng_cc, old_ng_gt, new_coal_st, new_ng_cc, new_ng_gt_aero, new_nuke_st
wk01.h028,        0.49,        2.29,        0.20,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h029,        0.45,        2.29,        0.31,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h030,        0.46,        2.29,        0.46,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h031,        0.41,        2.29,        0.73,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h032,        0.63,        2.29,        0.84,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h033,        0.52,        2.29,        1.15,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h034,        0.10,        2.29,        1.64,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h035,        0.00,        2.29,        1.68,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h036,        0.00,        2.29,        1.44,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h037,        0.00,        2.29,        1.27,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h038,        0.00,        2.29,        1.07,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h039,        0.00,        2.29,        0.87,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h040,        0.00,        2.29,        0.69,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h041,        0.00,        2.29,        0.62,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h042,        0.02,        2.29,        0.69,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h043,        0.10,        2.29,        1.06,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h044,        0.45,        2.29,        1.20,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h045,        0.85,        2.29,        0.97,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h046,        1.16,        2.29,        0.66,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h047,        1.02,        2.29,        0.64,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h048,        1.43,        2.29,        0.00,        0.00,        0.00,        1.52,        0.00,        0.00
wk01.h049,        1.17,        2.29,        0.00,        0.00,        0.00,        1.57,        0.00,        0.00
wk01.h050,        1.56,        2.29,        0.00,        0.00,        0.00,        1.11,        0.00,        0.00
wk01.h051,        2.14,        2.29,        0.00,        0.00,        0.00,        0.53,        0.00,        0.00
wk01.h052,        1.83,        2.29,        0.00,        0.00,        0.00,        0.87,        0.00,        0.00
wk01.h053,        1.91,        2.29,        0.00,        0.00,        0.00,        0.93,        0.00,        0.00
wk01.h054,        2.21,        2.29,        0.00,        0.00,        0.00,        0.93,        0.00,        0.00
wk01.h055,        2.19,        2.29,        0.00,        0.00,        0.00,        1.53,        0.00,        0.00
wk01.h056,        2.01,        2.29,        0.76,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h057,        2.00,        2.29,        0.53,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h058,        1.76,        2.29,        0.59,        0.00,        0.00,        1.60,        0.00,        0.00
